competency_domain,competency,skill,description,related_skills,,learning resources (work in progress),slug,tools_languages_methodologies,learning_resources
,,"Understanding, extracting and documenting other people's ideas or knowledge","Ability to actively listen, ask clarifying questions and accurately capture and organise another person’s insights or expertise for shared use.",active-listening|asking-for-help-or-asking-to-understand,,,understanding-extracting-and-documenting-other-peoples-ideas-or-knowledge,,
Leadership and management,,,"The capacity to guide people, projects and organisations with vision and accountability, ensuring strategic alignment, innovation and the effective use of resources.",,,,leadership-and-management,,
,People and team management,,"Guiding and supporting individuals and teams to achieve their potential, with attention to wellbeing, performance and professional growth.",,,,people-and-team-management,,
,,Team management,"Ability to lead, coordinate and motivate a group of individuals to achieve common goals.",,,,team-management,,
,,Team performance management,"Ability to set goals, monitor progress, provide feedback and evaluate performance of team members to improve efficiency and effectiveness.",,,,team-performance-management,,
,,Recruiting people,"Ability to recruite suitable candidates for a position, including the creation of clear and effective job descriptions that outline roles, responsibilities, qualifications and expectations.",,,,recruiting-people,,
,,Team building and development,"Ability to bring new people, improve skills, knowledge, and overall capabilities in a team, and foster a positive and collaborative environment that enhances teamwork.",mentoring-and-coaching,,Exploring career mentoring and coaching | OpenLearn - Open University,team-building-and-development,,exploring-career-mentoring-and-coaching
,,Acknowledgement of contributions,"Acknowledging and appreciating contributions and achievements of team members, reinforcing positive behavior and boosting morale.",,,,acknowledgement-of-contributions,,
,,Shielding colleagues from destructive criticism,"Protecting team members from unconstructive or harmful feedback by offering support and ensuring criticism is delivered in a constructive, respectful manner.",,,,shielding-colleagues-from-destructive-criticism,,
,,Understanding other people's goals and motivations,"Ability to empathise with and gain insight into the personal and professional goals of others, allowing for better collaboration, conflict resolution and alignment within teams.",influencing-persuasion-and-negotiation,,,understanding-other-peoples-goals-and-motivations,,
,Leadership,,"Setting direction, inspiring others and making strategic decisions that align people and projects with broader institutional or organisational goals.",,,,leadership,,
,,Long-term strategic planning,"Ability to do horizon scanning (identify emerging trends, technologies, risks and opportunities and anticipate their impact on research) in order to develop a roadmap for an organisation or initiative's future direction over an extended period of time.",,,,longterm-strategic-planning,,futures-foresight-and-horizon-scanning
,,Mentoring and coaching,"Providing guidance, support and advice to a less experienced individual to help them grow personally and professionally.",,,https://www.open.edu/openlearn/money-business/exploring-career-mentoring-and-coaching/content-section-overview?active-tab=description-tab ,mentoring-and-coaching,,exploring-career-mentoring-and-coaching
,,Motivation and inspiration,"Ability to encourage, energise, and empower others to take action, pursue goals, or strive for continuous improvement",,,,motivation-and-inspiration,,
,,Business development and grant proposal writing ,"Understanding the needs and interests of potential funders or decision-makers, articulating the goals and benefits of the proposed project or business case in a clear and persuasive way and providing strong justification for why it should be supported.  ",,,Everything you wanted to know about applying for grants but didn't ask,business-development-and-grant-proposal-writing,software-management-plans|data-management-plans,everything-you-wanted-to-know-about-applying-for-grants-but-didnt-ask|how-to-write-a-good-application|funding-higher-education-in-england|funding-higher-education-in-wales|funding-higher-education-in-scotland|funding-higher-education-in-northern-ireland|uk-research-funding-model|budget-allocations-for-uk-research-and-innovation|ukris-guide-to-appling-for-funding
,,Setting policies and guidelines,"Ability to analyse processes, identify areas for improvement and design clear policies and practical guidelines that establish standards, expectations or good practices within a project, organisation or across institutions.",,,,setting-policies-and-guidelines,,10-simple-rules-for-writing-10-simple-rules-papers
,,Leading change,"Ability to create a shift in mindset and behavior, empowering individuals and ensuring that the change is sustainable in the long run - drawing on emotional intelligence, strategic thinking, communication and organisational management.",,,Leadership and followership | OpenLearn - Open University,leading-change,,leadership-and-followership
,,Setting a mission,"Ability to define and articulate a clear mission that expresses the purpose, goals, and intended impact of a project, initiative, team or organisation, providing direction and alignment for decision-making and activities.",,,,setting-a-mission,,missions-a-beginners-guide
,,Starting an organisation,"Conceive, establish and formally structure a new entity, including defining its mission and scope, setting up governance and operational processes, securing resources, and ensuring legal, financial, and technical foundations are in place",setting-a-mission|open-project-culture-structure-and-practices,,,starting-an-organisation,,open-source-project-culture-and-practices|how-to-build-a-skills-based-organisation-in-5-steps|how-to-start-a-nonprofit-organisation-in-the-uk
,Programme and project management,,"Planning, coordinating and delivering projects effectively within defined scope, time and resource constraints, while managing risk and quality.",,,,programme-and-project-management,,
,,Project scoping and setting realistic goals,"Ability to define and clarify the boundaries, objectives and expected outcomes of a project, ensuring that they are achievable, measurable and aligned with the available resources.",project-management,,,project-scoping-and-setting-realistic-goals,software-management-plans|data-management-plans,
,,Project management,"Knowledge of the frameworks, processes and best practices that guide how a project is planned, executed, monitored and evaluated.",stakeholder-and-user-engagement|project-scoping-and-setting-realistic-goals|meeting-chairing-and-management,,"University of Manchester internal Agile/Scrum course (work in progress); 
CSCCE's project management for STEM professionals
The Harvard Business Review Project Management Handbook by Antonio Nieto-Rodriguez",project-management,agile|scrum|waterfall|prince2|delegation,university-of-manchester-internal-agilescrum-course-work-in-progress|cscces-project-management-for-stem-professionals|harvard-business-review-project-management-handbook-how-to-launch-lead-and-sponsor-successful-projects
,,Budget management,"Ability to plan, allocate, monitor and control financial resources to ensure that activities are delivered within budget while meeting objectives.",,,,budget-management,,
,,Task management,"Ability to effectively identify, break down, organise, assign, prioritise and track tasks and the use of resources (time, money and human resources) to ensure goals are achieved efficiently, within scope, and on schedule.",,,https://en.wikipedia.org/wiki/Task_management,task-management,github-issues|github-projects|asana|trello|gantt-charts,task-management-wikipedia
,,Portfolio management,"Ability to oversee and manage a programme of work or a collection of projects within an organisation to ensure that they align with the strategic goals, priorities and resource availability.",,,,portfolio-management,,
,,Risk management,"Ability to identify, assess, mitigate and monitor risks that could negatively affect a project, organisation or process.",,,,risk-management,risk-matrix,
,,Crisis and change management,"Ability to effectively navigate and manage sudden, unexpected situations (crisis) and significant transformations (change) within an organisation or project.",,,,crisis-and-change-management,,
,,Event management,"Ability to plan, organise and execute events efficiently, ensuring that all aspects are well-coordinated and meet the goals of the event.",,,Event Organisation Guide,event-management,,event-organisation-guide
,,Stakeholder management,"Ability to manage expectations of different stakeholders (e.g. partners and PIs), negotiation between partner needs and RSE practicalities.",,,,stakeholder-management,stakeholder-analysis,
,,Content and knowledge management,"Ability to organise, store, share and leverage information and resources within an organisation or community effectively making it easily accessible, well-documented and utilised in decision-making, problem-solving and innovation.",,,,content-and-knowledge-management,content-management-systems|microsoft-sharepoint|google-docs|google-sheets|atlassian-confluence|wordpress|drupal,
,,Meeting chairing and management,"Ability to lead and facilitate meetings effectively, ensuring they are well-organised, productive, achieve their objectives and encourage respectful and active participant engagement.",,,,meeting-chairing-and-management,setting-agenda|guiding-discussions|meeting-rules|code-of-conduct,
,,Understanding institutional bureaucracy or politics,"Ability to navigate and make sense of the complex structures, rules, power dynamics and interpersonal relationships within academic institutions.",,,,understanding-institutional-bureaucracy-or-politics,,
,,Gathering and understanding stakeholder requirements,"Ability to actively listen to and engage with users, funders and other stakeholders to identify their needs, expectations and constraints - including asking the right questions, clarifying assumptions and documenting requirements in a way that can guide project planning and delivery.",,,,gathering-and-understanding-stakeholder-requirements,stakeholder-analysis,
,,Stakeholder and user engagement,"Building and maintaining positive relationships with stakeholders or users by communicating clearly, understanding their needs, involving them in the process, gathering feedback and providing value and ensuring satisfaction with the final product or service.",,,,stakeholder-and-user-engagement,,
Domain expertise and research,,,"Disciplinary insight and research acumen, enabling the generation of new knowledge, critical analysis and the application of theory to practice.",,,,domain-expertise-and-research,,
,Domain knowledge,,"Deep understanding of the concepts, challenges, and methodologies specific to a particular scientific field",,,,domain-knowledge,,
,,Domain-specific background knowledge,"An understanding of concepts, theories, and best practices within a particular field or discipline.",,,,domainspecific-background-knowledge,,
,,Translating technical language for all stakeholders,"Translating between technical software engineering concepts and the language of non-software-engineer stakeholders, such as researchers, scientists or other business or academic teams.",public-speaking-and-presentation|technical-writing,,,translating-technical-language-for-all-stakeholders,simplifying-technical-jargon,
,,Adaptability of technical skills across domains,"Ability to apply scientific, technical or engineering methodologies to different domains and problems.",adaptability,,,adaptability-of-technical-skills-across-domains,,
,,Specialist technical or hardware knowledge,Knowledge of specialised computer or hardware systems designed to control specific functions within a larger device or machine,,,,specialist-technical-or-hardware-knowledge,embedded-systems|medical-devices|radars|satellite-hardware|raspberry-pi|arduino|sensors|controlling-actuators|system-on-a-chip-soc|internet-of-things-iot,
,Research skills,,"Conducting rigorous inquiry, including problem formulation, experimental design, critical analysis and dissemination of findings.",,,,research-skills,,
,,Research methodologies,"Expertise in research methodology - formulating testable predictions based on observations, theories or existing knowledge and systematically evaluating them through empirical methods.",data-acquisition|data-analysis|finding-understanding-and-synthesising-relevant-information|data-visualisation,,,research-methodologies,qualitative-methods|quantitative-methods|experimental-design|systematic-literature-review|simulations|matlab|labview|reference-management|zotero|endnote|mendeley|rayyan|covidence|paper-digest|connected-papers|preregistration,reference-management-a-practical-guide
,,"Finding, understanding and synthesising relevant information","Ability to do literature review - find, read and digest relevant research and synthesise information from multiple sources (such as academic literature, reports, books and research papers) and critically assess its relevance, credibility, and quality.",,,Often offered by university libraries,finding-understanding-and-synthesising-relevant-information,systematic-literature-review|google-scholar|arxiv|rayyan,often-offered-by-university-libraries
,,Writing research papers,"Ability to present research ideas and work in research and scientific publications, including presenting evidence, evaluation and argumentation in academic paper structure.",technical-writing,,academic writing workshops/courses,writing-research-papers,formatting-text|latex|overleaf|reference-management|zotero|bibtex|mendeley|endnote,academic-writing-workshopscourses|reference-management-a-practical-guide
,,Peer review of research papers,"Ability to provide constructive, evidence-based feedback on other people’s work to improve quality, foster learning and advance research.",,,,peer-review-of-research-papers,,
,,Ethical responsibility,"Ability to identify potential ethical concerns related to research subjects' welfare, data collection, storage and security methods, informed consent and privacy.",,,https://www.dcc.ac.uk/sites/default/files/documents/publications/3amendedFive%20things.....%20(8-Page).pdf,ethical-responsibility,gdpr|ethics-approvals|care-principles-for-indigenous-data-governance,five-things-you-need-to-know-about-research-data-management-and-the-law
,,Legal and regulatory responsibility,Understanding of legislation and legal responsibilities when conducting work in specific research areas.,intellectual-property-ip-and-software-licensing,,"https://www.uwe.ac.uk/study/library/research-support/manage-your-research-data/planning-your-project/know-your-legal-and-ethical-responsibilities

https://www.liverpool.ac.uk/library/research-data-management/essentials/ethical-and-legal/


https://researchdata.ox.ac.uk/ethical-and-legal-issues",legal-and-regulatory-responsibility,export-control|intellectual-property-ip|licensing|gdpr|clinical-trials-regulations|medical-devices,know-your-legal-and-ethical-responsibilities|ethical-and-legal-issues-university-of-liverpool|ethical-and-legal-issues-university-of-oxford
Communication,,,"Ability to convey ideas, knowledge and impact across diverse audiences, fostering understanding, knowledge transfer and engagement within and beyond the organisation.",,,,communication,,
,Verbal and written communication,,Articulating complex ideas clearly and effectively through a range of formats and for varied audiences.,,,,verbal-and-written-communication,,
,,Public speaking and presentation,"Public speaking, presentation and communication with a diverse audience (general public, non-technical, technical or cross-disciplinary audiences).",,,Presenting Posters and Conference Talks - The Turing Way  https://www.ptp.co.uk/training-courses/personal-development-training/public-speaking/  https://www.open.edu/openlearn/money-business/effective-communication-the-workplace/content-section-overview?active-tab=description-tab,public-speaking-and-presentation,designing-presentations|google-slides|microsoft-powerpoint|communication-with-general-public|communication-with-non-technical-audiences|communication-with-technical-audiences,presenting-posters-and-conference-talks-the-turing-way|ptp-public-speaking-courses|effective-communication-in-the-workplace
,,Information synthesis and concise written communication,Ability to structure and condense information in a written form for engaging with a diverse audience.,technical-writing|documenting-software,,,information-synthesis-and-concise-written-communication,writing-blog-posts|communication-with-general-public|communication-with-non-technical-audiences|communication-with-technical-audiences,
,,Technical writing,"Ability to create clear, concise, and structured technical documentation.",writing-research-papers|information-synthesis-and-concise-written-communication|documenting-software,,,technical-writing,technical-or-scientific-reports|technical-documentation|latex|overleaf||read-the-docs|mkdocs|sphynx|markdown|r-markdown|quarto|communication-with-technical-audiences,
,,Multimedia and social content production,"Ability to create, edit, and manage various forms of digital content across multiple media platforms, e.g. graphic design, audio/video/animation production, social media, etc.",,,Social Media for Research Communications — The Turing Way,multimedia-and-social-content-production,adobe-photoshop|adobe-illustrator|canva|adobe-premiere|obs|youtube|mastodon|x|linkedin|bluesky|podcasts,social-media-for-research-communications-the-turing-way
,,Note taking,Ability to document and organise meeting information and capture clear actions.,,,,note-taking,recording-clear-actions,
,,Active listening,Ability to be an attentive and engaged listener.,,,,active-listening,,
,,Providing positive and constructive feedback,"Ability to offer supportive and insightful feedback and review comments on other's work to improve quality, foster learning, and uphold standards.",peer-review-of-research-papers,,CSCCE mini-workshop on the topic of Giving and receiving feedback; Stone and Heen’s book Thanks for the Feedback https://www.open.edu/openlearn/education-development/shared-documents-and-constructive-collaboration,providing-positive-and-constructive-feedback,,cscce-mini-workshop-on-the-topic-of-giving-and-receiving-feedback|thanks-for-the-feedback|shared-documents-and-constructive-collaboration
,,Assertive communication,"Ability to be assertive in communication, including setting boundaries and declining requests firmly and politely when needed.",,,,assertive-communication,,
,Community and outreach,,"Engaging with wider communities through knowledge sharing, collaboration and public engagement to increase the visibility and impact of work.",,,"SSI Fellowship, OLS, maybe other community management programs, Turing Way handbook, CSCCE",community-and-outreach,,ssi-fellowship|ols-lesson|other-community-management-programs|the-turing-way-handbook|cscce
,,Peer support and creating safe spaces,"Providing emotional, social and practical support to other members of a community, fostering mutual understanding, encouragement and personal growth.",,,,peer-support-and-creating-safe-spaces,,
,,Networking and relationship building,"Establishing connections at professional gatherings to exchange knowledge, support and opportunities for growth.",,,,networking-and-relationship-building,,
,,Raising awareness of or advocating for issues,"Identifying, communicating and educating others about a specific problem to generate action, support or change.",,,,raising-awareness-of-or-advocating-for-issues,,
,,Community building and leadership,"Ability to inspire, guide and mobilise people toward a shared vision or a goal.",setting-a-mission|open-project-culture-structure-and-practices|community-governance-and-management,,"Resources from CSCCE, for example the Community Participation Model: https://www.cscce.org/resources/cpm/; 
A guide to using virtual events to facilitate community building: Selecting and testing online tools; 
CSCCE's guide on how to steward large-scale collaborations ",community-building-and-leadership,,community-participation-model-cscce|a-guide-to-using-virtual-events-to-facilitate-community-building-selecting-and-testing-online-tools|cscces-guide-on-how-to-steward-large-scale-collaborations|githubs-building-community
,,Community governance and management,"Setting norms, structures and processes to guide decision-making, coordination, communication and participation within a community.",meeting-chairing-and-management|open-project-culture-structure-and-practices,,"Governance in The Turing Way
MetaDocencia builds its governance collaboratively(spanish)
",community-governance-and-management,decision-making-processes|marthas-rules|githubs-minimum-viable-governance|onboarding-new-members|slack|mattermost|code-of-conduct|meeting-rules|understanding-and-defining-community-roles|assessing-community-health,governance-in-the-turing-way|metadocencia-builds-its-governance-collaboratively|community-governance-resources|ukris-guide-to-appling-for-funding|3-metrics-to-measure-your-open-source-community-health|chaoss-community-metrics|githubs-building-community|redhat-open-source-project-health-checklist
,,"Open project culture, structure and practices ","Understanding of different open science or open source communities of practice and how they work - structures, norms, governance, incentives and sustainability.",,,,open-project-culture-structure-and-practices,open-source-principles,open-source-software-oss-foundations|linux-foundation|apache-software-foundation|python-software-foundation|r-foundation|jupyter-project|research-software-alliance-resa|galaxy-project| what-is-open-source-software-oss
,,Community engagement,"Ability to actively and constructively participate in professional, research and open communities in ways that build relationships, enable collaboration, support others and strengthen shared goals.",collaboration,,,community-engagement,,outlining-the-structure-of-your-open-source-software-project
,Teaching and learning,,"Designing and delivering effective learning experiences that build skills, transfer knowledge and support capacity and capability development across audiences.",,,,teaching-and-learning,,
,,Pedagogical skills and theory of learning,"Ability to design, deliver and evaluate teaching based on an understanding of the theory of how people learn and how best to teach them.",,,"Carpentries Instructor Training   
Teaching tech together
Enseñando tecnología en comunidad(Spanish)
",pedagogical-skills-and-theory-of-learning,,carpentries-instructor-training|teaching-tech-together|enseando-tecnologa-en-comunidadspanish
,,Self-learning,Ability to learn independently and teach oneself new technical and non-technical skills.,,,,selflearning,,
,,Lifelong learning,"Ongoing, voluntary and self-motivated pursuit of learning for either personal or professional reasons.",curiosity,,,lifelong-learning,,
,,Knowledge exchange,"Ability to share information, expertise and good practices within a team, organisation or community.",public-speaking-and-presentation|information-synthesis-and-concise-written-communication,,,knowledge-exchange,onboarding-new-members|presentations|pair-programming|google-slides|microsoft-powerpoint|canva,
,,Teaching and training others,"Ability to convey theoretical and practical knowledge to others, address misconceptions, etc. in training events, while applying good practice from pedagogical theory.",,,"Carpentries Instructor Training   
Teaching tech together
Enseñando tecnología en comunidad(Spanish)
",teaching-and-training-others,,carpentries-instructor-training|teaching-tech-together|enseando-tecnologa-en-comunidadspanish
,,Training material development,"Ability to design and develop various short-format training materials (tutorials, courses, etc.), while applying good practice from pedagogical theory.",,,Carpentries Collaborative Lesson Development Training,training-material-development,,carpentries-collaborative-lesson-development-training
