name,slug,language,url,provider,description
Continuous integration - The Turing Way,continuous-integration-the-turing-way,en,https://book.the-turing-way.org/reproducible-research/ci,the-turing-way,
Containers on clusters,containers-on-clusters,en,https://coderefinery.github.io/hpc-containers/,coderefinery,
Community Participation Model - CSCCE,community-participation-model-cscce,en,https://www.cscce.org/resources/cpm/,cscce-center-for-scientific-collaboration-and-community-engagement,
Community governance resources,community-governance-resources,en,https://docs.google.com/spreadsheets/d/1k8t1VPdcwKH7ZGaCA0q8NNxbFKQKkZGPth3nhfkKwAA/edit?gid=1287139202#gid=1287139202,cscce-center-for-scientific-collaboration-and-community-engagement,
Community and Community Roles - The Turing Way,community-and-community-roles-the-turing-way,en,https://book.the-turing-way.org/foreword/community/,the-turing-way,
Collaborative version control with Git and GitHub by the Carpentries,collaborative-version-control-with-git-and-github-by-the-carpentries,en,https://carpentries-incubator.github.io/collaborative-git-and-github-lesson/,the-carpentries,
Collaborative distributed version control,collaborative-distributed-version-control,en,https://coderefinery.github.io/git-collaborative/,coderefinery,
Collaborating and sharing using GitHub without command line,collaborating-and-sharing-using-github-without-command-line,en,https://coderefinery.github.io/github-without-command-line/,coderefinery,
Code Testing - The Turing Way,code-testing-the-turing-way,en,https://book.the-turing-way.org/reproducible-research/testing,the-turing-way,
Code Styling and Linting - The Turing Way,code-styling-and-linting-the-turing-way,en,https://book.the-turing-way.org/project-design/code-styling,the-turing-way,
CMake workshop (based on ENCCS version),cmake-workshop-based-on-enccs-version,en,https://coderefinery.github.io/cmake-workshop/,coderefinery,
Cloud Native Glossary,cloud-native-glossary,en,https://glossary.cncf.io/data-center/,cloud-native,
Choose an open source license,choose-an-open-source-license,en,https://choosealicense.com/,choose-an-open-source-license,
CHAOSS community metrics,chaoss-community-metrics,en,https://chaoss.community/metrics/,chaoss,
Carpentries Instructor Training,carpentries-instructor-training,en,https://carpentries.org/instructor-training/,the-carpentries,
Carpentries courses,carpentries-courses,en|es,https://carpentries.org/workshops/upcoming-workshops/,the-carpentries,
Carpentries Collaborative Lesson Development Training,carpentries-collaborative-lesson-development-training,en,https://carpentries.github.io/lesson-development-training/,the-carpentries,
Building Better Research Software,building-better-research-software,en,https://carpentries-incubator.github.io/better-research-software/,software-carpentry,
Budget allocations for UK Research and Innovation,budget-allocations-for-uk-research-and-innovation,en,https://www.ukri.org/publications/explainer-ukri-budget-allocations/budget-allocations-for-uk-research-and-innovation/,,
Bringing up problems at work (without making things worse),bringing-up-problems-at-work-without-making-things-worse,en,https://www.open.edu/openlearn/education-development/bringing-problems-work-without-making-things-worse,open-university,
Automation and Make,automation-and-make,en,https://swcarpentry.github.io/make-novice,software-carpentry,
Automated testing,automated-testing,en,https://coderefinery.github.io/testing/,coderefinery,
Assessing the health of open source communities,assessing-the-health-of-open-source-communities,en,https://james.howison.name/pubs/CrowstonHowison-AssessingHealth.pdf,,
Apache Software Foundation,apache-software-foundation,en,https://www.apache.org/,,
Análisis y visualización de datos usando Python,anlisis-y-visualizacin-de-datos-usando-python,es,https://datacarpentry.github.io/python-ecology-lesson-es/,data-carpentry,
An R reproducibility toolkit for the practical researcher,an-r-reproducibility-toolkit-for-the-practical-researcher,en,https://reproducibility.rocks/,reproducibility-rocks,
Ally Skills Training,ally-skills-training,en,https://www.open.edu/openlearn/money-business/diversity-and-inclusion-the-workplace/content-section-overview?active-tab=description-tab,open-university,
Accelerator and GPU programming,accelerator-and-gpu-programming,en,https://medium.com/@mahdiall99/gpu-programming-a-brief-introduction-1150f8a53f15,,
academic writing workshops/courses,academic-writing-workshopscourses,en,https://www.google.com/search?q=academic+writing+workshops+courses+near+me,,
A guide to using virtual events to facilitate community building: Selecting and testing online tools,a-guide-to-using-virtual-events-to-facilitate-community-building-selecting-and-testing-online-tools,en,https://zenodo.org/records/4521211,cscce-center-for-scientific-collaboration-and-community-engagement,
3 metrics to measure your open source community health,3-metrics-to-measure-your-open-source-community-health,en,https://opensource.com/article/20/3/community-metrics,opensource-com,
10 ways to be respectful,10-ways-to-be-respectful,en,https://www.uwl.ac.uk/student-life/building-uwl-community/10-ways-be-respectful,university-of-west-london,
10 simple rules for writing '10 Simple Rules' papers,10-simple-rules-for-writing-10-simple-rules-papers,en,https://scientistseessquirrel.wordpress.com/2023/10/31/10-simple-rules-for-writing-10-simple-rules-papers/,scientist-sees-squirrel,
Reproducible computational environment with Docker,reproducible-computational-environment-with-docker,en,https://reproducibility.rocks/materials/day4/01-docker/,reproducibility-rocks,
